               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.031555,           0.0072715,            0.001705,             0.95252,              0.9177,             0.97336,             0.60428,            0.026881,           0.0063953,          0.00089622,            0.006535,            0.006535,            0.006535
                  37,            0.031666,           0.0075274,           0.0017324,             0.95486,             0.97843,             0.98201,             0.63582,            0.025167,           0.0061202,           0.0008536,            0.006436,            0.006436,            0.006436
                  38,            0.031532,           0.0071719,             0.00155,             0.91032,             0.90502,             0.94931,             0.58872,            0.031274,           0.0080154,           0.0025963,            0.006337,            0.006337,            0.006337
                  39,            0.031086,           0.0074456,           0.0017453,             0.94836,             0.90589,             0.96179,             0.58658,            0.028951,           0.0072626,           0.0020484,            0.006238,            0.006238,            0.006238
                  40,            0.030743,            0.007286,           0.0015951,             0.96426,             0.97197,             0.98375,             0.63467,            0.025559,           0.0061226,          0.00089895,            0.006139,            0.006139,            0.006139
                  41,            0.031127,           0.0071043,           0.0013732,             0.94303,             0.96775,             0.97255,              0.6407,            0.027354,           0.0065362,          0.00085632,             0.00604,             0.00604,             0.00604
                  42,            0.030472,           0.0074045,           0.0017427,             0.94536,             0.94955,             0.97617,             0.63588,            0.027228,            0.006682,           0.0012722,            0.005941,            0.005941,            0.005941
                  43,            0.030417,           0.0073102,           0.0016745,              0.9568,             0.95577,             0.97875,             0.63813,            0.024897,            0.006149,          0.00079434,            0.005842,            0.005842,            0.005842
                  44,            0.029817,           0.0072447,             0.00141,             0.88423,             0.96255,             0.97624,             0.61379,            0.026251,           0.0065067,          0.00079985,            0.005743,            0.005743,            0.005743
                  45,            0.030677,           0.0070887,           0.0016196,             0.95083,              0.9665,             0.97775,             0.63347,            0.025677,           0.0060102,          0.00068219,            0.005644,            0.005644,            0.005644
                  46,            0.029285,           0.0070589,           0.0012891,             0.95146,             0.88977,             0.93771,              0.5784,            0.030372,           0.0087517,           0.0028237,            0.005545,            0.005545,            0.005545
                  47,            0.029354,           0.0071569,            0.001483,             0.95408,             0.96736,             0.98311,             0.63728,            0.025432,           0.0062198,          0.00081477,            0.005446,            0.005446,            0.005446
                  48,            0.029919,           0.0072224,           0.0014088,             0.95195,              0.9735,              0.9795,             0.64904,            0.024925,           0.0059665,          0.00066781,            0.005347,            0.005347,            0.005347
                  49,            0.029946,            0.007133,           0.0015114,             0.94202,             0.96219,             0.97601,             0.63916,            0.024876,            0.006124,          0.00061637,            0.005248,            0.005248,            0.005248
                  50,            0.028538,           0.0071492,           0.0014116,             0.96368,             0.96522,             0.98557,             0.65142,            0.024804,           0.0059842,          0.00064434,            0.005149,            0.005149,            0.005149
                  51,            0.028732,           0.0072028,           0.0014544,             0.95513,             0.96906,             0.98444,             0.66503,            0.025038,           0.0060955,          0.00065154,             0.00505,             0.00505,             0.00505
                  52,            0.028137,           0.0068101,           0.0013942,             0.95067,             0.97576,             0.98093,             0.63875,            0.024644,           0.0059873,          0.00061548,            0.004951,            0.004951,            0.004951
                  53,            0.028739,           0.0070542,           0.0013082,             0.95345,             0.97829,              0.9829,             0.64803,            0.024208,           0.0059348,          0.00065804,            0.004852,            0.004852,            0.004852
                  54,            0.028026,           0.0069727,           0.0011042,              0.9595,             0.96594,             0.98483,             0.66433,            0.024312,           0.0059727,          0.00054081,            0.004753,            0.004753,            0.004753
                  55,            0.028859,           0.0069225,           0.0013539,             0.96017,             0.95412,             0.98375,             0.65982,             0.02431,           0.0059693,          0.00057939,            0.004654,            0.004654,            0.004654
                  56,            0.027666,           0.0069504,           0.0011542,             0.95257,             0.97604,             0.97476,              0.6548,            0.023527,           0.0058261,          0.00051881,            0.004555,            0.004555,            0.004555
                  57,             0.02823,           0.0068199,           0.0010675,             0.95806,             0.97261,             0.97829,             0.62699,            0.024219,           0.0059049,          0.00052929,            0.004456,            0.004456,            0.004456
